sender,sender_type,sender_id,timestamp,meta,correct,correctResponse,duration,ended_on,response,time_commit,time_end,time_render,time_run
Introduction,canvas.Screen,0,2018-06-21T04:55:25.080Z,"{""location"":""file:///home/joshua/Web/Metascience%20Lab/IntcogSciproceedings2018-20180530T060642Z-001/IntcogSciproceedings2018/tasks/4/index.html"",""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"",""platform"":""Linux x86_64"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1476,""screen_height"":830,""scroll_width"":1462,""scroll_height"":715,""window_innerWidth"":1478,""window_innerHeight"":739,""devicePixelRatio"":1.2999999523162842}",false,Space,16979.300000000876,response,spacebar,17186.19999999828,17179.599999999482,,200.29999999860593
mini-intro part 1,canvas.Screen,1,2018-06-21T04:55:27.719Z,,false,Space,2631.100000000515,response,,19825.299999998606,19821.599999999307,,17190.499999998792
1a,canvas.Screen,2,2018-06-21T04:55:28.722Z,,,,1001.2000000006083,timeout,,20829.29999999942,20828.599999998914,,19827.399999998306
1b,canvas.Screen,3,2018-06-21T04:55:30.726Z,,,,2000.900000000911,timeout,,22832.799999998315,22832.099999999627,,20831.199999998717
2a,canvas.Screen,4,2018-06-21T04:55:31.855Z,,,,1126.1000000013155,timeout,,23961.79999999913,23961.199999999735,,22835.09999999842
2b,canvas.Screen,5,2018-06-21T04:55:34.855Z,,,,2997.400000000198,timeout,,26961.699999999837,26961.099999998623,,23963.699999998425
3a,canvas.Screen,6,2018-06-21T04:55:36.855Z,,,,1997.800000001007,timeout,,28961.699999999837,28961.199999999735,,26963.399999998728
3b,canvas.Screen,7,2018-06-21T04:55:39.855Z,,,,2997.800000001007,timeout,,31962.29999999923,31961.199999999735,,28963.399999998728
4a,canvas.Screen,8,2018-06-21T04:55:41.855Z,,,,1997.1000000005006,timeout,,33961.79999999913,33961.199999999735,,31964.099999999235
4b,canvas.Screen,9,2018-06-21T04:55:44.855Z,,,,2997.699999999895,timeout,,36961.79999999913,36961.199999999735,,33963.49999999984
5a,canvas.Screen,10,2018-06-21T04:55:46.855Z,,,,1997.5999999987835,timeout,,38961.69999999984,38961.09999999862,,36963.49999999984
