sender,sender_type,sender_id,timestamp,meta,correct,correctResponse,duration,ended_on,response,time_commit,time_end,time_render,time_run,userAns
Introduction,canvas.Screen,0,2018-06-21T04:25:40.628Z,"{""location"":""file:///home/joshua/Web/Metascience%20Lab/IntcogSciproceedings2018-20180530T060642Z-001/IntcogSciproceedings2018/tasks/1/index.html"",""userAgent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"",""platform"":""Linux x86_64"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""America/Chicago"",""timezoneOffset"":300,""screen_width"":1476,""screen_height"":830,""scroll_width"":1462,""scroll_height"":715,""window_innerWidth"":1478,""window_innerHeight"":739,""devicePixelRatio"":1.2999999523162842}",false,Space,3734.50000000048,response,spacebar,3874.4000000006054,3869.0999999998894,,134.5999999994092,
2 Digits - Trial 1,html.Form,1_0,2018-06-21T04:25:48.730Z,,,,8096.800000001167,form submission,,11975.399999999354,11973.900000000867,,3877.0999999997002,12
2 Digits - Trial 2,html.Form,1_1,2018-06-21T04:25:51.439Z,,,,2707.300000000032,form submission,,14685.300000001007,14683.600000000297,,11976.300000000265,22
2 Digits - Trial 3,html.Form,1_2,2018-06-21T04:25:55.634Z,,,,4193.400000000111,form submission,,18880.00000000102,18879.60000000021,,14686.200000000099,21
2 Digits,flow.Sequence,1,2018-06-21T04:25:55.634Z,,,,15003.499999998894,completion,,18880.40000000001,18880.199999999604,,3876.70000000071,
3 Digits - Trial 1,html.Form,2_0,2018-06-21T04:25:59.198Z,,,,3562.2999999995955,form submission,,22443.499999999403,22442.9999999993,,18880.699999999706,31
3 Digits - Trial 2,html.Form,2_1,2018-06-21T04:26:06.879Z,,,,7678.70000000039,form submission,,30124.499999999898,30122.9000000003,,22444.19999999991,23
3 Digits - Trial 3,html.Form,2_2,2018-06-21T04:26:15.068Z,,,,8187.5,form submission,,38314.000000000306,38312.700000000405,,30125.200000000405,33
3 Digits,flow.Sequence,2,2018-06-21T04:26:15.069Z,,,,19433.999999999287,completion,,38315.200000000914,38314.5999999997,,18880.600000000413,
4 Digits - Trial 1,html.Form,3_0,2018-06-21T04:26:37.360Z,,,,22287.200000000666,form submission,,60606.20000000017,60603.60000000037,,38316.3999999997,12
4 Digits - Trial 2,html.Form,3_1,2018-06-21T04:26:43.870Z,,,,6507.100000000719,form submission,,67115.49999999988,67114.19999999998,,60607.099999999264,1
4 Digits - Trial 3,html.Form,3_2,2018-06-21T04:26:45.859Z,,,,1987.2999999988679,form submission,,69105.29999999926,69103.49999999926,,67116.20000000039,12
4 Digits,flow.Sequence,3,2018-06-21T04:26:45.860Z,,,,30790.000000000873,completion,,69106.40000000058,69105.90000000047,,38315.8999999996,
5 Digits - Trial 1,html.Form,4_0,2018-06-21T04:26:48.258Z,,,,2396.3000000003376,form submission,,71504.3999999998,71503.6,,69107.29999999967,234
5 Digits - Trial 2,html.Form,4_1,2018-06-21T04:26:50.570Z,,,,2308.999999999287,form submission,,73815.8999999996,73814.0999999996,,71505.10000000031,1234
5 Digits - Trial 3,html.Form,4_2,2018-06-21T04:26:52.559Z,,,,1986.800000000585,form submission,,75804.900000001,75803.9000000008,,73817.10000000021,1234
5 Digits,flow.Sequence,4,2018-06-21T04:26:52.560Z,,,,6698.599999999715,completion,,75806.30000000019,75805.59999999969,,69106.99999999997,
6 Digits - Trial 1,html.Form,5_0,2018-06-21T04:26:54.306Z,,,,1743.3000000000902,form submission,,77552.29999999938,77550.90000000018,,75807.6000000001,1234
6 Digits - Trial 2,html.Form,5_1,2018-06-21T04:26:55.878Z,,,,1570.2999999994063,form submission,,79123.9999999998,79123.29999999929,,77552.99999999988,1234
6 Digits - Trial 3,html.Form,5_2,2018-06-21T04:26:57.478Z,,,,1598.7000000004628,form submission,,80724.20000000056,80723.40000000077,,79124.7000000003,1234
6 Digits,flow.Sequence,5,2018-06-21T04:26:57.479Z,,,,4917.100000000573,completion,,80725.00000000036,80724.50000000026,,75807.39999999969,
7 Digits - Trial 1,html.Form,6_0,2018-06-21T04:26:59.019Z,,,,1538.0000000004657,form submission,,82265.60000000063,82263.80000000063,,80725.80000000016,1
7 Digits - Trial 2,html.Form,6_1,2018-06-21T04:27:00.906Z,,,,1885.2000000006228,form submission,,84152.20000000045,84151.49999999994,,82266.29999999932,
7 Digits - Trial 3,html.Form,6_2,2018-06-21T04:27:02.140Z,,,,1231.999999999971,form submission,,85386.20000000083,85384.90000000093,,84152.90000000095,
7 Digits,flow.Sequence,6,2018-06-21T04:27:02.142Z,,,,4661.200000000463,completion,,85387.09999999992,85386.70000000093,,80725.50000000047,
8 Digits - Trial 1,html.Form,7_0,2018-06-21T04:27:04.637Z,,,,2495.0000000008004,form submission,,87883.70000000032,87883.10000000092,,85388.10000000012,
8 Digits - Trial 2,html.Form,7_1,2018-06-21T04:27:07.338Z,,,,2698.8000000001193,form submission,,90584.50000000084,90583.20000000094,,87884.40000000082,
